feature,original_01,original_02,original_03,original_04,original_05,original_06,noise_07,noise_08,noise_09,noise_10,noise_11
center_x,257.6899766899767,299.52764612954184,329.36180904522615,349.51824817518246,365.830303030303,345.36752136752136,289.4722891566265,275.94594594594594,320.31947483588624,314.0238663484487,372.6484848484848
center_y,-220.97668997668998,-215.01579778830964,-225.02763819095478,-182.28953771289537,-362.8060606060606,-368.6980056980057,-217.96144578313252,-214.6070686070686,-226.98687089715537,-257.79952267303105,-338.969696969697
center_z,-194.7039627039627,-173.88625592417063,-179.24120603015075,-185.8102189781022,-151.0,-151.45868945868946,-212.03855421686748,-189.47817047817048,-187.09846827133478,-187.68257756563247,-150.9181818181818
var_x,20476.91534322375,22010.917351570777,10972.679847600724,8991.772227167528,30422.0136686009,34307.758827838836,22326.72809498865,23523.272072072068,11752.80122077623,11227.267371618456,31204.192170949613
var_y,133021.49945537327,109422.89531965525,109048.43500246824,111073.91352441993,67463.64616376531,76935.0513960114,141029.49609452303,136953.7931999307,113265.20158163461,102813.8305260874,74734.6373768076
var_z,1330.6201010827183,421.0123582698421,366.90892750908193,189.57852946412675,0.0,85.13471713471714,1173.2642104650486,379.5917099792099,485.3038792276095,287.2363225268639,0.15437966289030128
cov_xy,26715.81331830164,21365.038412122296,13175.629672290926,9399.067491543528,41611.68042737405,46524.46012210012,28493.53247191665,27956.22753378378,11143.309392874966,19097.583720638107,43840.64594270977
cov_xz,4275.4074134588145,-194.1107444957706,327.4376162930522,36.56238205447745,0.0,1084.7176312576312,-3265.882713462546,912.4657657657659,-13.466279895581433,27.15747793219225,-24.421000276319425
cov_yz,1132.1449523996257,-6208.607377467155,-4924.253534675899,-4312.971746483888,0.0,1351.450345950346,-2695.2545486293,3384.432029625779,-5766.05572190871,-3681.9393863265236,-24.78668140370268
x_range,433.0,470.0,338.0,290.0,470.0,475.0,464.0,490.0,348.0,339.0,483.0
y_range,945.0,852.0,878.0,872.0,731.0,796.0,973.0,960.0,901.0,844.0,756.0
z_range,138.0,57.0,71.0,39.0,0.0,40.0,123.0,59.0,61.0,58.0,3.0
bbox_volume,56467530.0,22825080.0,21070244.0,9862320.0,0.0,15124000.0,55531056.0,27753600.0,19126428.0,16594728.0,1095444.0
path_length,2582.168545202446,2513.428447185228,2237.3292203174424,2159.665234341248,1885.5098228900824,2047.6842433855973,2696.892282005431,2736.2483670389292,2432.674215265941,2161.9866357158253,1941.1338460877125
radius_mean,377.7466273627784,347.50773664670925,327.3343995628411,327.52895745884393,287.7680806370398,307.5023183483368,388.2763167765474,383.32964366361807,332.9477984955854,319.3931621832042,300.574645044579
radius_std,108.64219571739248,104.41321504673952,113.88731674170761,112.77588143688735,121.75174761775942,128.45273202004222,115.78790640068021,116.65724540139121,120.02486726798575,109.87399302372147,123.7710041332775
